No,日付,時刻,ツイート
1,2014/08/01,14:48,数十人のロシア兵に囲まれた高田健志は「こういう最期も悪くない」と呟き、一杯のウォッカを口に含んだ
2,2014/08/01,15:11,高田健志が指揮を執ると、それまで不調だったオーケストラがたちまち七色の音色を奏で出し、舞台上に虹がかかった
3,2014/08/01,15:24,猟師歴40年のA氏は森でキノコを食らう高田健志の目を見て「ありゃバケモンだ」と銃を下ろした
4,2014/08/01,15:55,周りの芸人たちが我先にと和田アキ子に挨拶をする中、高田健志は楽屋の隅で黙々とソーシャルゲームをしていた
5,2014/08/01,16:08,全国の小学生1000人に将来の夢についてのアンケートを取った所、約80％が「高田健志」と回答した
6,2014/08/01,21:21,神は自らの姿に似せて高田健志を作り、余った粘土でアダムとイヴを作った
7,2014/08/01,23:38,初代内閣総理大臣「伊藤博文」、第二代内閣総理大臣「黒田清隆」、第三代内閣総理大臣「高田健志」
8,2014/08/02,7:07,桃から生まれた高田健志は鬼を退治することよりも、きび団子で一儲けすることを考えた
9,2014/08/02,8:03,あまり知られていないがダウンタウンは結成当初、浜田雅功、松本人志、高田健志の3人組だった
10,2014/08/02,12:38,高田健志の体の60％は水分でできている。宗教学的には神だが、生物学的にはヒト科に属する。
11,2014/08/02,17:56,その昔、一国の王子だった高田健志は欲望ひしめく王位継承争いに嫌気が差し、あえて土や草を食べる生活を選んだ
12,2014/08/02,21:02,大災害を予知した高田健志は国に危険が迫っていることを伝えようと奔走したが、愚かな民衆たちは彼を狼少年呼ばわりし、十字架に磔にした
13,2014/08/02,23:02,高田健志は不老不死の肉体を保つために年に一度脱皮する。その抜け殻を見た者は子宝に恵まれるという。
14,2014/08/03,7:20,難病の子どもにホームランを打つ約束をした高田健志は、その日の試合全打席デッドボールで出塁した
15,2014/08/03,12:21,バラエティ番組で高田健志と共演した司会者は皆、「高田君がひな壇にいると安心する」と彼のトークスキルを絶賛した
16,2014/08/03,17:52,幕末にタイムスリップした脳外科医・高田健志は自身の体に生えていた青カビを培養し、ペニシリンを精製した
17,2014/08/03,20:16,面倒見の良い高田健志は、収録終わりに後輩芸人たちをマンホール下の自宅に招き入れては、ネズミ料理を振る舞う
18,2014/08/03,22:23,豊臣秀吉は懐で温めた草履を織田信長に差し出した。一方、デキる男・高田健志は温めた草履にサイン入り色紙まで付けた。
